TCE,url,mkd,uis,hcl,fin,gov,agdp,enc,mar,cor,gtfp,gtec,dig,fte,open,fdi,epu,wpu,cpu
-0.072301069,-0.139907976,-0.086971821,0.159518,1.527020897,0.197082772,-0.064941329,0.1637566,-0.222057836,0.422649042,6.921625404,-0.029793015,80,-0.388118731,1.283962006,0.16867844,-0.083886997,-0.919853157,-0.275720713,0.0068379
-0.003688868,0.003422212,-0.013362593,0.067092527,1.493297783,0.163842018,-0.048643542,0.1783497,-0.174358818,-0.328017679,0.392331576,-0.033718035,169,0.007304004,1.369103847,0.116866223,-0.063420969,-0.574298392,-0.328220426,0
0.034134268,0.125183295,0.23733868,0.040082567,1.477947173,0.558635958,-0.194448742,0.2038004,-0.040528607,-1.222406132,0.212035494,-0.022988731,205,0.334397475,1.392612286,-0.290780379,-0.027765674,0.1439868,-0.332109294,0.0788836
0.093765394,0.232333047,0.623414253,0.170534802,1.419487961,0.589425464,0.037994688,0.2235371,0.08581289,-0.367970356,0.005982828,0.012977225,274,0.711424126,1.527179629,0.120771889,0.017542613,0.805139611,-0.347664764,0.3825398
0.108907845,0.322784137,0.999137158,0.268931324,0.546301943,0.341066512,0.112452966,0.2181623,0.123145146,1.641552657,-0.071286921,0.061162342,312,0.820283944,1.562489817,0.144534793,0.057110564,1.599788095,-0.337942595,0.7283237
0.099840124,0.551903706,1.368279977,0.421631136,0.583178333,0.475611728,0.151075577,0.2309416,0.148822212,-0.744969532,-0.084165213,-0.072469147,172,0.962527748,1.62558768,0.110611993,0.077452381,1.850868946,2.998705811,1
-0.234112986,-0.661045409,-1.296918016,-0.657260746,-0.577071654,-0.787715501,-0.86349496,0.1099264,-0.420259173,1.28282404,0.714288865,0.00984736,41,0.98757266,0.732099588,-0.329801406,-0.164271666,-0.607868303,-0.351553632,0.6651851
-0.207849382,-0.661045409,-0.866010124,-0.636970747,-0.580258665,-0.749249995,-0.774302911,0.1221559,-0.369478051,1.069158076,0.26354866,-0.100504701,66,-1.916619032,0.84251329,-0.370491068,-0.132167483,-0.620543064,-0.351553632,0.0813397
0.053463656,-0.568506986,-0.765861216,-0.573573534,-0.465882402,-0.644077866,-0.832642039,0.1126498,-0.174420301,-0.91532087,0.67565399,0.007077006,61,-1.458068942,1.047396886,-0.386909477,-0.081526983,-0.788696378,-0.351553632,0.0936121
0.279849132,-0.483622118,-0.665405238,-0.511341616,-0.598286567,-0.52519469,-0.722939281,0.1236614,-0.036206663,-0.146030789,3.264190597,0.156432894,63,-0.883200855,1.198759539,-0.393120943,-0.053756887,-0.888524159,-0.322387124,0.0318051
0.270431167,-0.327072154,-0.268187386,-0.386498986,-0.601687903,-0.408196195,-0.29150558,0.1262666,-0.037434694,0.885801325,0.701410573,0.055166959,115,-0.674383749,1.247354656,-0.437797183,-0.06784156,-0.919853157,-0.275720713,0.0068379
0.336222788,-0.177479967,-0.166985665,-0.259308419,-0.609199485,-0.309908384,-0.384404555,0.1355929,0.022706604,0.346576266,2.169535813,-0.112727035,130,-0.29883444,1.308003306,-0.468017292,-0.046512707,-0.574298392,-0.328220426,0
0.462461595,-0.053631552,0.099420079,0.00745722,-0.595025214,0.96383752,-0.32284046,0.1526525,0.424016852,0.048847818,2.182414105,-0.085232863,157,0.133868726,1.46130605,-0.276586172,0.013842891,0.1439868,-0.332109294,0.0788836
0.587308235,0.054909756,0.421317881,0.34041909,-0.56970222,1.072604501,0.049004143,0.1408546,0.840799102,1.750542757,1.538499526,0.028912044,221,0.504418718,1.596669948,-0.496990437,0.03447971,0.805139611,-0.347664764,0.3825398
0.694207764,0.14396929,0.708560564,0.385414485,-0.536369649,0.041149926,0.140348037,0.1421752,0.956582076,1.280944271,1.757430483,-0.143449409,223,0.60177189,1.660066576,-0.455204426,0.056527214,1.599788095,-0.337942595,0.7283237
