tce,url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu
0.1047915,0.54683,12.1108,6.694526,3.586125,0.20942686,3.1856,0.05508829,0.052,226.668396,0.090711983,1.064985,363.3586174,0.07,512.8383186
0.1083738,0.55671,12.5318,6.773142,3.746114,0.222542549,3.4269,0.05598751,0.077,238.6094786,0.091265708,1.14843,390.3879721,17.23,687.6163291
0.07107741,0.4642,13.0647,6.326998,2.254784,0.205612322,2.5649,0.009911728,0.054,244.9745078,0.018043021,0.18681,125.7,0,472.2192815
0.07071751,0.4763,13.9481,6.326164,2.289389,0.218880467,2.8139,0.009916927,0.042,47.19,0.019631622,0.218205,124.3355367,0,96.61290641
0.07000844,0.4895,14.8959,6.290836,2.396322,0.220194075,2.8201,0.009884071,0.054,83.43,0.018242941,0.263225,106.2334968,0,104.5081246
0.06931767,0.501,15.7882,6.265096,2.571265,0.244631089,3.054,0.009853345,0.115,120.03,0.023745205,0.301015,95.48683697,0.15,64.74577466
0.06515576,0.522,15.8023,6.300347,2.813139,0.286020212,3.084,0.009473235,0.056,134.3,0.030594679,0.3289,92.11420781,0.39,48.68357734
0.06805774,0.5419,16.2177,6.351337,3.150586,0.286495815,3.3142,0.01022592,0.083,161.88,0.025462909,0.396325,129.3138679,0.12,44.28451654
0.07645044,0.5592,16.3156,6.503213,5.80682,0.329357682,3.5123,0.01572985,0.087,187.1338482,0.025290194,0.43484,206.6387024,0.1,95.03284876
0.08367117,0.5724,17.0689,6.637966,6.304671,0.391802923,3.4661,0.02133757,0.069,212.7607723,0.022134796,0.4246,277.8131221,0.02,290.3845297
0.09095035,0.5838,17.2976,6.685065,4.531802,0.393269293,3.5025,0.02284532,0.058,220.2188222,0.030308477,0.452565,363.3586174,0.07,512.8383186
0.09267922,0.66019,17.3104,6.724795,4.719129,0.399975002,3.8637,0.02310916,0.06,233.7037517,0.024442222,0.46558,390.3879721,17.23,687.6163291
0.04478237,0.411,9.25957,6.192006,1.853711,0.172070277,3.1705,0.006408671,0.042,239.7235631,0.011012177,0.05695,125.7,0,472.2192815
0.042802,0.42457,9.32782,6.190641,1.912692,0.203059429,3.3791,0.0061399,0.03,44.82,0.008140302,0.09369,124.3355367,0,96.61290641
0.0425614,0.43858,9.78344,6.183069,2.051031,0.204388054,3.3653,0.006156191,0.036,81.42,0.012454348,0.0859,106.2334968,0,104.5081246
0.04355431,0.45305,9.88414,6.179348,2.202009,0.201109828,3.8128,0.006408279,0.103,121.4,0.029529639,0.095385,95.48683697,0.15,64.74577466
0.04234091,0.468,10.5104,6.196704,2.398612,0.213434604,3.8505,0.006278629,0.044,130.33,0.018308701,0.154495,92.11420781,0.39,48.68357734
0.04147462,0.49001,10.7769,6.242296,2.605871,0.208540426,4.0741,0.006201869,0.118,159.5,0.021961263,0.179825,129.3138679,0.12,44.28451654
0.04344839,0.50701,10.8775,6.33004,6.808441,0.232010645,4.1299,0.0136303,0.133,185.2628631,0.014335669,0.11888,206.6387024,0.1,95.03284876
0.04528817,0.52069,11.4333,6.397056,7.109883,0.276144729,4.1476,0.02134832,0.104,210.9057775,0.022109959,0.12004,277.8131221,0.02,290.3845297
0.04567549,0.5326,11.8792,6.388342,3.473432,0.285520054,4.108,0.02298792,0.116,215.3097947,0.015475901,0.12847,363.3586174,0.07,512.8383186
0.04659655,0.56716,12.4929,6.369632,3.655831,0.2902664,4.6119,0.02431799,0.112,224.9703305,0.010537767,0.05456,390.3879721,17.23,687.6163291
0.05238253,0.41679,12.7126,6.406661,1.310736,0.10057249,3.6053,0.007815901,0.054,240.4518662,0.053665107,0.29279,125.7,0,472.2192815
0.06178887,0.43138,13.3571,6.408719,1.358437,0.110225358,3.8949,0.009377556,0.047,45.45,0.052386801,0.32445,124.3355367,0,96.61290641
0.06670333,0.44647,13.6892,6.438907,1.478281,0.116163678,3.996,0.01030323,0.053,80.38,0.05282643,0.38317,106.2334968,0,104.5081246
0.06488782,0.4621,14.521,6.476521,1.618068,0.12127479,4.2676,0.0100843,0.122,120.23,0.06085198,0.376325,95.48683697,0.15,64.74577466
0.06695465,0.4856,14.8546,6.52363,1.739707,0.144550883,4.4819,0.01054443,0.067,131.1,0.051674615,0.40769,92.11420781,0.39,48.68357734
0.06693059,0.5056,15.2797,6.585642,1.852287,0.141056456,4.7425,0.01091633,0.077,156.15,0.053667883,0.51901,129.3138679,0.12,44.28451654
0.07108214,0.5231,15.8405,6.65906,5.246741,0.150957896,4.8384,0.02454008,0.07,180.0994991,0.085810271,0.5945,206.6387024,0.1,95.03284876
0.07849426,0.5364,16.5456,6.762125,5.390525,0.18978062,4.8562,0.04072819,0.066,205.6515601,0.086306973,0.64822,277.8131221,0.02,290.3845297
0.08484883,0.5491,17.3889,6.832913,2.345325,0.192307692,4.7663,0.0449161,0.06,215.6260692,0.103428094,0.69473,363.3586174,0.07,512.8383186
0.08735734,0.51096,18.3711,6.849665,2.492209,0.200005406,5.0713,0.04621084,0.066,227.3562699,0.086033055,0.71696,390.3879721,17.23,687.6163291
0.04866738,0.4944,11.9205,6.406283,2.359944,0.142731256,3.6773,0.007680629,0.039,273.6304013,0.212031285,0.57521,125.7,0,472.2192815
0.05307601,0.50775,11.9473,6.40327,2.430572,0.150473993,4.0598,0.00853313,0.031,62.22,0.176956808,0.597695,124.3355367,0,96.61290641
0.05915192,0.52146,12.2611,6.434443,2.655646,0.149243746,4.6046,0.00991311,0.038,104.93,0.188046115,0.65275,106.2334968,0,104.5081246
0.06445514,0.53554,12.5275,6.535269,2.889628,0.137870181,4.8407,0.01132683,0.083,146.05,0.149338066,0.701255,95.48683697,0.15,64.74577466
0.05754769,0.55,13.0436,6.669412,3.150755,0.194028765,5.446,0.0108286,0.05,155.96,0.122359244,0.73656,92.11420781,0.39,48.68357734
0.04926082,0.568,13.993,6.769261,3.714195,0.187468296,5.8972,0.009953408,0.092,183.02,0.122898354,0.779,129.3138679,0.12,44.28451654
0.0508462,0.58499,14.6906,6.82549,8.947582,0.201318288,6.1586,0.02431505,0.071,205.894068,0.252822727,0.895225,206.6387024,0.1,95.03284876
0.05277367,0.60009,14.7622,6.932934,8.891326,0.204410654,6.4906,0.03921876,0.037,235.2490086,0.148798756,1.018715,277.8131221,0.02,290.3845297
0.05267127,0.61291,15.1049,7.048127,4.066801,0.200250313,6.5512,0.04038513,0.028,249.0597202,0.110262829,1.077295,363.3586174,0.07,512.8383186
0.04997028,0.64845,15.1075,7.079756,4.150069,0.196904062,6.0989,0.04050011,0.035,262.0675946,0.118875405,1.10554,390.3879721,17.23,687.6163291
0.02464182,0.40802,8.13009,6.051884,2.048182,0.150688323,2.1334,0.003729573,0.027,245.2714057,0.201604265,0.14723,125.7,0,472.2192815
0.02507339,0.42189,8.96161,6.059488,2.150258,0.158254453,2.3101,0.003748029,0.022,39.48,0.202294441,0.165335,124.3355367,0,96.61290641
0.02597889,0.43623,9.62946,6.132792,2.410301,0.177531932,2.3889,0.003893249,0.033,78.36,0.219318756,0.1929,106.2334968,0,104.5081246
0.0318627,0.45106,9.78524,6.268109,2.667894,0.208853655,2.6022,0.004835657,0.064,115.32,0.196183093,0.20932,95.48683697,0.15,64.74577466
0.03746556,0.4664,9.94286,6.371943,2.908318,0.221309661,2.7543,0.00576844,0.036,118.04,0.135798651,0.19179,92.11420781,0.39,48.68357734
0.04138779,0.4889,10.5955,6.419674,2.941752,0.211240829,3.1955,0.006762103,0.037,154.3,0.124410194,0.20241,129.3138679,0.12,44.28451654
0.05042287,0.50601,11.4142,6.468796,5.490956,0.196955075,3.4782,0.01286797,0.016,179.0801465,0.13005624,0.249415,206.6387024,0.1,95.03284876
0.05968617,0.52059,11.5867,6.537817,5.692717,0.260527858,3.4898,0.01927885,0.017,204.7853614,0.138128734,0.2778,277.8131221,0.02,290.3845297
0.06546319,0.5322,12.3711,6.630525,3.508088,0.259153432,3.3599,0.02104055,0.013,218.0451025,0.155415282,0.282915,363.3586174,0.07,512.8383186
0.06728273,0.54632,12.9388,6.689818,3.778268,0.269196257,3.6938,0.02162073,0.018,231.8527025,0.150876875,0.27154,390.3879721,17.23,687.6163291
0.2210011,0.8335,9.69826,7.071419,6.366162,0.115377959,4.9292,0.04089249,0.05,284.0490916,0.264993075,0.67914,125.7,0,472.2192815
0.222668,0.8376,10.5568,7.081662,6.488103,0.121137132,5.444,0.04202972,0.041,70.57,0.231430126,0.73073,124.3355367,0,96.61290641
0.2302402,0.8412,10.874,7.103016,6.813611,0.132622147,5.6547,0.04170671,0.051,116.45,0.235202352,0.86329,106.2334968,0,104.5081246
0.2188291,0.8425,11.0324,7.151795,7.055792,0.126427745,5.9023,0.03815284,0.112,153.9,0.258979657,1.010495,95.48683697,0.15,64.74577466
0.2172694,0.844,11.177,7.220189,7.133864,0.153545811,6.3483,0.03771887,0.053,170.02,0.24257163,0.96361,92.11420781,0.39,48.68357734
0.2214771,0.8455,11.7687,7.26372,7.168568,0.142103126,6.8234,0.03952885,0.071,201.1,0.297530742,0.656315,129.3138679,0.12,44.28451654
0.2243,0.847,12.476,7.265194,7.228548,0.1419203,7.7536,0.045622,0.076,229.216338,0.270610519,0.284635,206.6387024,0.1,95.03284876
0.2480019,0.84875,12.6397,7.262364,6.801665,0.139014746,8.8272,0.05174745,0.058,249.2124548,0.279648709,0.10713,277.8131221,0.02,290.3845297
0.26783,0.8525,12.8938,7.264823,6.427696,0.151885244,9.0698,0.05082312,0.064,257.7903941,0.277876024,0.09717,363.3586174,0.07,512.8383186
0.2783282,0.88722,13.8057,7.258783,6.545344,0.156503943,7.8734,0.04971618,0.08,272.1580986,0.291691519,0.09717,390.3879721,17.23,687.6163291
0.06470417,0.5649,9.58951,6.759459,2.997883,0.201523996,2.5341,0.009483191,0.074,245.9740038,0.033017071,0.10635,125.7,0,472.2192815
0.06790028,0.5795,9.64066,6.764356,2.993728,0.203996616,2.7815,0.009876726,0.06,57.7,0.034155315,0.15825,124.3355367,0,96.61290641
0.07523666,0.59026,10.0355,6.798155,3.153458,0.237743054,2.8741,0.010788,0.073,101.21,0.03060971,0.18735,106.2334968,0,104.5081246
