url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.5637,15.0859,6.183054,6.396677,0.206631731,3.4067,0.009999663,0.057,191.6672845,0.042706667,0.34392,206.6387024,0.1,95.03284876,0.01655366
0.451,11.7993,6.168846,1.867347,0.203158792,3.406,0.006009068,0.134,132.85,0.038843408,0.05278,92.11420781,0.39,48.68357734,0.02650169
0.75168,14.3384,5.875911,3.674825,0.384356683,3.4031,0.006280964,0.069,219.2463084,0.044333683,0.0005,390.3879721,17.23,687.6163291,0.03660246
0.4605,11.9055,6.185195,4.957679,0.205057165,3.4025,0.01148817,0.045,189.0622122,0.01524711,0.529245,206.6387024,0.1,95.03284876,0.03363309
0.4921,13.4236,6.474571,1.935042,0.154210236,3.3984,0.01285863,0.1,134.45,0.024768961,0.38563,92.11420781,0.39,48.68357734,0.06921966
0.83081,16.051,5.969336,3.866366,0.416181122,3.3981,0.005897628,0.055,215.9069099,0.056547619,0.00123,363.3586174,0.07,512.8383186,0.0434248
0.638,8.7821,6.607697,1.594662,0.164815242,3.3954,0.01559728,0.017,178.42,0.214956506,0.06482,92.11420781,0.39,44.28451654,0.05695842
0.39584,12.1103,6.072618,2.426886,0.29695228,3.3882,0.005444324,0.113,119.52,0.036668847,0.22806,95.48683697,0.15,64.74577466,0.04529478
0.6747,15.1283,6.017361,3.72314,0.377805997,3.3857,0.006286715,0.057,208.3372702,0.029327731,0.022395,363.3586174,0.07,512.8383186,0.05111143
0.42457,9.32782,6.190641,1.912692,0.203059429,3.3791,0.0061399,0.03,44.82,0.008140302,0.09369,124.3355367,0,96.61290641,0.042802
0.511,9.4682,6.292688,1.780226,0.13418166,3.3775,0.004983587,0.032,263.853744,0.106361186,0.17297,125.7,0,472.2192815,0.02973577
0.5258,12.8704,6.444827,2.550889,0.252463951,3.3774,0.00968481,0.022,208.6042473,0.049287224,0.01146,277.8131221,0.02,290.3845297,0.01780484
0.4787,10.9288,6.278653,1.528007,0.207610603,3.3772,0.003631627,0.065,158.1,0.02842677,0.230395,129.3138679,0.12,44.28451654,0.01551522
0.431,11.9255,6.332263,6.775481,0.232036181,3.377,0.01729972,0.016,206.9614185,0.013795547,0.4107,277.8131221,0.02,290.3845297,0.02854548
0.4224,14.1264,6.355181,5.695298,0.259089325,3.3747,0.008527602,0.04,213.4626659,0.127477625,0.03337,277.8131221,0.02,290.3845297,0.04147701
0.547,12.0431,6.085173,4.408301,0.213299483,3.3735,0.01243486,0.063,222.329019,0.049948806,0.08669,206.6387024,0.1,290.3845297,0.03272814
0.7022,12.2044,6.745616,2.174322,0.149890526,3.3732,0.02714512,0.036,181.38,0.309548654,0.197895,92.11420781,0.39,44.28451654,0.1242124
0.4806,9.77961,6.191463,1.33253,0.181504674,3.371,0.003370855,0.019,84.89,0.047777793,0.051695,106.2334968,0,104.5081246,0.01716496
0.5162,12.0385,6.890968,2.824027,0.372025347,3.3702,0.007623846,0.055,215.8741772,0.037908127,0.30033,363.3586174,0.07,512.8383186,0.03321474
0.4758,14.0263,6.310969,1.584604,0.145999864,3.3696,0.01135706,0.15,122.04,0.039009075,0.804985,95.48683697,0.15,64.74577466,0.06142134
0.35351,11.6474,6.364064,3.193976,0.213011106,3.3692,0.006680913,0.053,168.12,0.129011836,0.054615,129.3138679,0.12,44.28451654,0.05135818
0.4822,13.0916,6.455064,5.273607,0.283537283,3.3688,0.01092883,0.045,212.5091546,0.104795176,1.089515,206.6387024,0.1,290.3845297,0.01831209
0.5501,7.53541,6.388755,1.393884,0.474615957,3.3675,0.003731961,0.019,244.7970576,0.71587717,0.29263,125.7,0,472.2192815,0.03395039
0.43858,9.78344,6.183069,2.051031,0.204388054,3.3653,0.006156191,0.036,81.42,0.012454348,0.0859,106.2334968,0,104.5081246,0.0425614
0.4245,7.1475,6.273227,1.473471,0.120808511,3.3642,0.00621379,0.039,255.2578205,0.278572692,1.02893,125.7,0,472.2192815,0.02632303
0.5322,12.3711,6.630525,3.508088,0.259153432,3.3599,0.02104055,0.013,218.0451025,0.155415282,0.282915,363.3586174,0.07,512.8383186,0.06546319
0.46031,11.3565,6.251369,2.095125,0.249745794,3.3597,0.001946799,0.079,185.3829689,0.006074058,0.015335,129.3138679,0.12,95.03284876,0.008165535
0.382,13.6519,5.935592,1.525955,0.158916025,3.3592,0.002054549,0.012,112.92,0.022223171,0.07298,95.48683697,0.15,64.74577466,0.00900639
0.4424,9.77738,6.143012,1.165979,0.150893288,3.3569,0.004674645,0.016,130.57,0.031989094,0.662335,106.2334968,0,64.74577466,0.02674669
0.4651,11.1408,6.199278,2.530987,0.183557083,3.3558,0.01228894,0.058,148.5,0.113447458,0.23558,95.48683697,0.15,48.68357734,0.04549333
0.653,8.17344,6.440225,2.394039,0.191874744,3.3489,0.01449899,0.048,99.57,0.028167401,1.165575,124.3355367,0,104.5081246,0.07988399
0.5138,11.3922,6.40361,2.095982,0.165319209,3.345,0.022144,0.13,130.39,0.058712183,0.872835,92.11420781,0.39,48.68357734,0.133777
0.4377,14.4794,6.2603,1.553522,0.185807411,3.3444,0.008314887,0.078,158.51,0.047159182,0.318435,92.11420781,0.39,44.28451654,0.04477081
0.28509,13.2722,6.641113,2.814615,0.336645282,3.3428,0.007028273,0.036,236.9564176,0.314780089,0.00635,390.3879721,17.23,687.6163291,0.02978676
0.4907,10.0671,6.497976,2.108741,0.226941919,3.3392,0.01364725,0.042,169.25,0.219139437,0.184725,92.11420781,0.39,44.28451654,0.06792723
